Detail_ID,Discount,Discount_Amount,ExistedQuantity,P_ID,Product_Category,Product_Description,PurchaseCurrency,Purchase_ID,Qty,SerialNumber,Total,Total_Cost,Unit_Cost
614,0.,$0.00,0,1840,Accessories,Hoco G16 Privacy Protection iPhone 17 Pro,USD,112,10,,$10.00,$10.00,$1.00
615,0.,$0.00,0,1741,Accessories,Moxom colorful 360 rotation phone holder MX-VS137,USD,112,3,,$13.50,$13.50,$4.50
616,0.,$0.00,0,1742,Accessories,Moxom tablet holder vs138,USD,112,2,,$11.00,$11.00,$5.50
617,0.,$0.00,0,1743,Accessories,Green Lion aurix clip on buds,USD,112,2,,$25.00,$25.00,$12.50
618,0.,$0.00,0,1744,Accessories,Green lion siena enc,USD,112,1,,$9.00,$9.00,$9.00
619,0.,$0.00,0,1745,Accessories, Green Lion harmonic,USD,112,1,,$8.00,$8.00,$8.00
620,0.,$0.00,0,1746,Accessories,Green Lion earbuds Mittersill,USD,112,2,,$16.00,$16.00,$8.00
621,0.,$0.00,0,1747,Accessories,Green Lion sienna earbuds pink,USD,112,1,,$9.00,$9.00,$9.00
622,0.,$0.00,0,1748,Accessories,Green Lion stereo earphones type-c connector,USD,112,10,,$45.00,$45.00,$4.50
623,0.,$0.00,0,1642,Accessories,Green Lion Kitty Beats Earbuds GL-TWS55,USD,112,1,,$12.00,$12.00,$12.00
624,0.,$0.00,0,1643,Accessories,Green Lion Shadow Beats Earbuds GL-TWS54,USD,112,1,,$12.00,$12.00,$12.00
625,0.,$0.00,0,1750,Accessories,Eggshell Airpods 4  Air 4 Protective Case,USD,112,4,,$10.00,$10.00,$2.50
626,0.,$0.00,0,1751,Accessories,Case Protective TPU Airpods 4 Air 4,USD,112,5,,$12.50,$12.50,$2.50
627,0.,$0.00,0,895,Accessories,Airpods Pro 3 2025 Protective Case EJ-01,USD,112,4,,$14.00,$14.00,$3.50
628,0.,$0.00,0,1780,Accessories,Mtetubl Camera Lens iPhone 15 Pro / 15 Pro Max,USD,112,4,,$7.40,$7.40,$1.85
629,0.,$0.00,0,1781,Accessories,Mtetubl Camera Lens iPhone 16 Pro / 16 Pro Max,USD,112,4,,$7.40,$7.40,$1.85
630,0.,$0.00,0,1777,Accessories,Mtetubl Camera Lens iPhone 17 Pro,USD,112,3,,$6.00,$6.00,$2.00
631,0.,$0.00,0,1778,Accessories,Mtetubl Camera Lens iPhone 17,USD,112,3,,$6.00,$6.00,$2.00
632,0.,$0.00,0,1779,Accessories,Mtetubl Camera Lens iPhone 17 Air,USD,112,4,,$8.00,$8.00,$2.00
633,0.,$0.00,0,1782,Accessories,Caisles Camera Lens iPhone 16 Pro / 16 Pro Max,USD,112,3,,$5.25,$5.25,$1.75
634,0.,$0.00,0,1783,Accessories,Caisles Camera Lens iPhone 16,USD,112,3,,$5.25,$5.25,$1.75
635,0.,$0.00,0,1784,Accessories,Caisles Camera Lens iPhone 15 Pro Max,USD,112,3,,$5.25,$5.25,$1.75
636,0.,$0.00,0,1785,Accessories,Caisles Camera Lens Samsung S25 Ultra,USD,112,3,,$5.25,$5.25,$1.75
637,0.,$0.00,0,1786,Accessories,Green Lion 2 in 1 Card Reader Supports Micro SD Cards,USD,112,2,,$8.00,$8.00,$4.00
638,0.,$0.00,0,1787,Accessories,Adapter Type-C to HDMI,USD,112,2,,$17.00,$17.00,$8.50
639,0.,$0.00,0,1788,Accessories,Green Lion 4 in 1 USB-A Hub Docking Station Adapter,USD,112,1,,$5.00,$5.00,$5.00
640,0.,$0.00,0,1789,Accessories,Green Lion 4 in 1 USB-C Hub Docking Station Adapter,USD,112,1,,$5.00,$5.00,$5.00
641,0.,$0.00,0,1790,Accessories,Green Lion 8 in 1 Cable Organizer 3M Self Adhesive,USD,112,1,,$4.50,$4.50,$4.50
642,0.,$0.00,0,1791,Accessories,Green Lion 2 in 1 Cable Organizer 3M Self Adhesive,USD,112,1,,$2.75,$2.75,$2.75
643,0.,$0.00,0,1792,Accessories,Green Lion Magnetic Clip Cable Organizer 10Pcs/Set,USD,112,1,,$3.50,$3.50,$3.50
